p1_choice,p2_choice,p1_win%_tricks,tricks_tie%,p1_win%_cards,cards_tie%,games_total
RRR,RRB,40.41%,15.44%,47.13%,2.00%,5000000
RRR,RBR,21.14%,12.34%,27.68%,1.63%,5000000
RRR,RBB,11.26%,11.79%,17.63%,2.00%,5000000
RRR,BRR,0.11%,0.40%,0.00%,0.00%,5000000
RRR,BRB,16.77%,13.78%,25.22%,2.13%,5000000
RRR,BBR,0.83%,2.44%,0.95%,0.26%,5000000
RRR,BBB,32.52%,34.96%,48.56%,2.89%,5000000
RRB,RRR,44.15%,15.44%,50.87%,2.00%,5000000
RRB,RBR,80.10%,8.28%,86.31%,1.32%,5000000
RRB,RBB,88.29%,6.54%,95.57%,0.83%,5000000
RRB,BRR,2.63%,3.83%,0.19%,0.05%,5000000
RRB,BRB,79.23%,9.44%,91.77%,1.38%,5000000
RRB,BBR,40.96%,18.12%,47.80%,4.44%,5000000
RRB,BBB,96.74%,2.43%,98.80%,0.26%,5000000
RBR,RRR,66.52%,12.34%,70.69%,1.63%,5000000
RBR,RRB,11.62%,8.28%,12.38%,1.32%,5000000
RBR,RBB,43.18%,13.68%,48.58%,2.87%,5000000
RBR,BRR,42.35%,13.42%,41.98%,2.18%,5000000
RBR,BRB,40.66%,18.72%,48.84%,2.38%,5000000
RBR,BBR,11.35%,9.44%,6.84%,1.39%,5000000
RBR,BBB,69.45%,13.80%,72.67%,2.14%,5000000
RBB,RRR,76.95%,11.79%,80.37%,2.00%,5000000
RBB,RRB,5.17%,6.54%,3.60%,0.83%,5000000
RBB,RBR,43.14%,13.68%,48.56%,2.87%,5000000
RBB,BRR,43.14%,13.66%,48.54%,2.87%,5000000
RBB,BRB,44.21%,13.44%,55.82%,2.18%,5000000
RBB,BBR,93.54%,3.84%,99.76%,0.05%,5000000
RBB,BBB,99.49%,0.40%,100.00%,0.00%,5000000
BRR,RRR,99.49%,0.40%,100.00%,0.00%,5000000
BRR,RRB,93.54%,3.83%,99.76%,0.05%,5000000
BRR,RBR,44.23%,13.42%,55.84%,2.18%,5000000
BRR,RBB,43.19%,13.66%,48.60%,2.87%,5000000
BRR,BRB,43.16%,13.71%,48.59%,2.85%,5000000
BRR,BBR,5.18%,6.55%,3.59%,0.84%,5000000
BRR,BBB,76.99%,11.77%,80.44%,2.00%,5000000
BRB,RRR,69.45%,13.78%,72.64%,2.13%,5000000
BRB,RRB,11.33%,9.44%,6.85%,1.38%,5000000
BRB,RBR,40.61%,18.72%,48.78%,2.38%,5000000
BRB,RBB,42.34%,13.44%,42.00%,2.18%,5000000
BRB,BRR,43.14%,13.71%,48.56%,2.85%,5000000
BRB,BBR,11.61%,8.27%,12.39%,1.31%,5000000
BRB,BBB,66.47%,12.37%,70.68%,1.62%,5000000
BBR,RRR,96.73%,2.44%,98.79%,0.26%,5000000
BBR,RRB,40.92%,18.12%,47.76%,4.44%,5000000
BBR,RBR,79.21%,9.44%,91.77%,1.39%,5000000
BBR,RBB,2.62%,3.84%,0.19%,0.05%,5000000
BBR,BRR,88.27%,6.55%,95.57%,0.84%,5000000
BBR,BRB,80.12%,8.27%,86.31%,1.31%,5000000
BBR,BBB,44.15%,15.44%,50.85%,1.99%,5000000
BBB,RRR,32.52%,34.96%,48.55%,2.89%,5000000
BBB,RRB,0.83%,2.43%,0.95%,0.26%,5000000
BBB,RBR,16.75%,13.80%,25.19%,2.14%,5000000
BBB,RBB,0.11%,0.40%,0.00%,0.00%,5000000
BBB,BRR,11.23%,11.77%,17.55%,2.00%,5000000
BBB,BRB,21.16%,12.37%,27.69%,1.62%,5000000
BBB,BBR,40.41%,15.44%,47.16%,1.99%,5000000
