p1_choice, p2_choice, trick_ties, p1_trick_wins, p1_trick_loss, card_ties, p1_card_wins, p1_card_loss
000,001,154065,403729,442206,19913,471668,508419
000,010,122918,210823,666259,16065,276244,707691
000,011,117548,112417,770035,19961,176322,803717
000,100,4002,1087,994911,6,11,999983
000,101,137871,167092,695037,21198,251522,727280
000,110,24503,8354,967143,2625,9434,987941
000,111,349859,325263,324878,28929,485898,485173
001,000,154065,442206,403729,19913,508419,471668
001,010,83066,800541,116393,13121,862596,124283
001,011,65153,882645,52202,8278,955467,36255
001,100,38226,26197,935577,472,1921,997607
001,101,94156,791844,114000,13759,917205,69036
001,110,181190,409773,409037,44566,478149,477285
001,111,24158,967499,8343,2532,988081,9387
010,000,122918,666259,210823,16065,707691,276244
010,001,83066,116393,800541,13121,124283,862596
010,011,136624,432211,431165,28814,485674,485512
010,100,134387,424028,441585,21854,420529,557617
010,101,187266,406033,406701,23959,487690,488351
010,110,94086,113988,791926,13954,68975,917071
010,111,138189,695130,166681,21390,727495,251115
011,000,117548,770035,112417,19961,803717,176322
011,001,65153,52202,882645,8278,36255,955467
011,010,136624,431165,432211,28814,485512,485674
011,100,136665,431588,431747,28442,485749,485809
011,101,134492,441965,423543,21572,558189,420239
011,110,38444,935401,26155,459,997701,1840
011,111,4060,994779,1161,3,999988,9
100,000,4002,994911,1087,6,999983,11
100,001,38226,935577,26197,472,997607,1921
100,010,134387,441585,424028,21854,557617,420529
100,011,136665,431747,431588,28442,485809,485749
100,101,137314,430946,431740,28604,485442,485954
100,110,65158,52204,882638,8338,36157,955505
100,111,118018,770178,111804,19969,804515,175516
101,000,137871,695037,167092,21198,727280,251522
101,001,94156,114000,791844,13759,69036,917205
101,010,187266,406701,406033,23959,488351,487690
101,011,134492,423543,441965,21572,420239,558189
101,100,137314,431740,430946,28604,485954,485442
101,110,82999,116256,800745,13184,123889,862927
101,111,123751,665634,210615,16161,707317,276522
110,000,24503,967143,8354,2625,987941,9434
110,001,181190,409037,409773,44566,477285,478149
110,010,94086,791926,113988,13954,917071,68975
110,011,38444,26155,935401,459,1840,997701
110,100,65158,882638,52204,8338,955505,36157
110,101,82999,800745,116256,13184,862927,123889
110,111,154230,442086,403684,20078,508879,471043
111,000,349859,324878,325263,28929,485173,485898
111,001,24158,8343,967499,2532,9387,988081
111,010,138189,166681,695130,21390,251115,727495
111,011,4060,1161,994779,3,9,999988
111,100,118018,111804,770178,19969,175516,804515
111,101,123751,210615,665634,16161,276522,707317
111,110,154230,403684,442086,20078,471043,508879
